variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
KC_dist,3.4641016151377544,30,-0.48286427066750864,3.6037217436797087,3.4641016151377544,0.2891498440109148,0,3.4641016151377544,4.123105625617661,1.0017772839883843,245.40278558032344,198.07182032757854,200,data_set_7,3.4641016151377544,4.123105625617661,0.95,STL
tree_length,17.54717508471289,199,3.1388646803575067,9.409922340979632,9.198180473472792,2.5924190981072974,2.425398137107327,5.887560131036562,13.86810390582589,1.0001792944269732,227.09477501235585,181.71259610245684,200,data_set_8,4.433027227834369,13.938649718244887,0.95,STL
max_branch,8.487242330422909,200,3.3615131081526313,4.252159684918998,4.06336994090495,1.2598739047700345,1.0996047491287033,2.53754801149135,6.508443356170998,1.0003825780373168,239.30150931679566,178.62881248895587,200,data_set_8,1.969657525592214,6.565343105603494,0.95,STL
range_branch,8.463918767477486,200,3.396464305916816,4.19698028309573,4.0062357282522605,1.2562883340032542,1.1134511807520642,2.5155248729345194,6.444935586232576,0.9991394351044675,240.03452328032097,178.62881248895587,200,data_set_8,1.9163903611757689,6.549875547393215,0.95,STL
RF_dist,3,130,0.5468859318804916,2.655,3,0.630844532448846,0,1,3,1.0067439036649184,180.32590516477765,NA,200,data_set_8,1,3,0.95,STL
BHV_dist,11.934530432459331,200,3.5662570300221517,5.892010676024638,5.639885702168896,1.6943590171898406,1.6068637360789,3.718164672210899,9.081053751338443,1.0042724559006366,249.47442210730426,152.81425918388848,200,data_set_8,3.234656393848749,9.348397403299673,0.95,STL
KC_dist,3.605551275463989,68,-0.6831799802729924,3.9462133285602885,4.123105625617661,0.498641738535977,0.34958717315265964,2.6457513110645907,4.358898943540674,0.9981732939377524,208.9702873424191,NA,200,data_set_8,2.6457513110645907,4.358898943540674,0.95,STL
tree_length,2.322173783554449,105,-0.03914160371168554,2.3668881230411265,2.230244198232615,1.1423737212210368,1.049298046644701,0.9217053566402925,4.495949899465768,1.0111735769407304,142.01372662210136,139.43677971002515,200,data_set_9,0.6243304848519468,4.5464838703882045,0.95,STL
max_branch,0.7157874607548472,112,-0.14499445168421318,0.7816395336718697,0.6610552821051414,0.4541696054718232,0.3530580526877903,0.2579432189040458,1.5783918386749987,1.0336280213785012,119.7153714201354,174.00235129387204,200,data_set_9,0.11536018514822,1.6778285940686197,0.95,STL
range_branch,0.5897140180926885,95,-0.332484931258706,0.7414107266577544,0.6190919006916041,0.4562513795460731,0.36044399780876285,0.23019376717288653,1.5586820715165004,1.0336420586991912,121.01993310798164,174.2017389635149,200,data_set_9,0.07950368594453273,1.6578599777286855,0.95,STL
RF_dist,3,118,0.7809217052159705,2.62,3,0.4866044796320621,0,2,3,0.9966781561460929,201.46770308192805,NA,200,data_set_9,2,3,0.95,STL
BHV_dist,2.5173177455428286,139,0.20880393967864605,2.424418404784219,2.3018993710744504,0.44491181967918597,0.31534594267115884,1.929903058421389,3.3250136207149867,1.03264980712049,159.88645652246674,212.86796045641333,200,data_set_9,1.882533930412034,3.4021204599242085,0.95,STL
KC_dist,3.1622776601683795,140,0.04093740911412561,3.1385391392795396,3.1622776601683795,0.5798735533717205,0.6571974620372708,2.449489742783178,4.123105625617661,1.003069718305654,164.28781641663394,157.67799262650124,200,data_set_9,2.449489742783178,4.123105625617661,0.95,STL
tree_length,1.7186062888568652,27,-0.9421850295243784,2.966411400254341,2.7548855208723815,1.3243737400788216,1.086170339317741,1.2732309620353062,5.185497805131578,0.9977552664584125,151.3266274575342,219.05118051561786,200,data_set_10,0.8016245180121282,5.185841185318367,0.95,STL
max_branch,0.5290362862176317,39,-0.7689739375529672,0.9678219126328699,0.8417417219723196,0.5706118308918818,0.44478804712742825,0.3777388213095014,2.0471555299045034,1.0027104514021636,170.2697698657204,142.42047031212655,200,data_set_10,0.2814246765414562,2.1635015212044633,0.95,STL
range_branch,0.4817618322856052,40,-0.7495548417519547,0.9125590055724248,0.7655139201844096,0.574737363152649,0.4400439361030171,0.3403780956695997,2.021104458679269,1.0030443358127012,178.05787349443958,179.40930109027994,200,data_set_10,0.20523738721112036,2.1034166332049558,0.95,STL
RF_dist,1,129,0.04778597704235194,0.965,1,0.7324324449614181,1.4826,0,2,1.0120314859137947,231.22505359136701,NA,200,data_set_10,0,2,0.95,STL
BHV_dist,1.6539415962419364,82,-0.23230595329200138,1.7689811484647482,1.7629515208789859,0.4952070775311155,0.3461145692145053,1.0796861095999324,2.453565115804164,0.9990269945297787,214.87147222955986,214.12680756395997,200,data_set_10,0.865501092855783,2.8129264983429016,0.95,STL
KC_dist,2.6457513110645907,114,0.48508577975100153,1.9375020872031645,2.449489742783178,1.4600494457392181,1.5349004650759885,0,4.123105625617661,0.9987653044583721,235.99500679944694,196.48566521337037,200,data_set_10,0,4.123105625617661,0.95,STL
tree_length,2.511799825447592,8,-1.624353476749576,5.164228973366909,5.015433193121622,1.6329137628510388,1.5843851710938672,2.739434237730192,8.189501235664098,1.0069206412600147,253.831401121003,219.05118051561786,200,data_set_11,1.969124071592843,8.25718507474424,0.95,STL
