variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
tree_length,1.9082241138712053,12,-1.2354790820250772,3.402411819662041,3.2010522617781856,1.2093994366474492,1.1055647476419488,1.8889994898122004,5.594809110141689,1.001324016371073,203.64568036924626,135.97033374536466,200,data_set_7,1.383422508470436,5.825791383917628,0.95,default
max_branch,0.36602917335764623,4,-1.4412236202868263,1.0184250550042324,0.9270336197799476,0.45266804711176545,0.3610910508238136,0.43578685969976194,1.9358153329849017,0.9962327228174463,198.91932272059205,157.05612746862477,200,data_set_7,0.39100208203969433,2.0749891641126332,0.95,default
range_branch,0.2599671930886331,2,-1.5131844062777282,0.9409592597582147,0.8532934047641156,0.45003904603058215,0.37651459700920153,0.36990139995028093,1.8215259292821344,0.9964200753973735,194.27367203833276,157.05612746862477,200,data_set_7,0.3139485887761242,1.9835273338553931,0.95,default
RF_dist,3,26,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_7,3,3,0.95,default
BHV_dist,1.9493577121365184,21,-0.8470107436533008,2.272598448393109,2.1653665172097236,0.381625308390303,0.24021379161325918,1.892999806155292,3.0323792464714923,0.9977483136590156,183.91851560018873,157.05612746862477,200,data_set_7,1.7649190303342364,3.1170429897468246,0.95,default
KC_dist,3.4641016151377544,140,-0.3967439376166615,3.578687306120818,3.4641016151377544,0.28881522846047264,0,3.4641016151377544,4.146079129084562,1.000710633169653,226.89306268902806,183.81776436968573,200,data_set_7,3.4641016151377544,4.58257569495584,0.95,default
tree_length,17.54717508471289,198,3.3195152173949833,9.2602405266829,9.054270852013605,2.496429151643784,2.1869279226328366,5.881755610133437,13.970553492698793,0.9957479241920214,169.88494820251134,113.82615641565606,200,data_set_8,5.03915525992733,14.617503247359505,0.95,default
max_branch,8.487242330422909,199,3.6588930927310055,4.177638031012101,4.052270495067307,1.177843733114954,1.04491921617137,2.631393546241686,6.490102278812379,0.9963988502394717,176.9246560443833,149.69916913379805,200,data_set_8,1.95069374947545,6.679074011325166,0.95,default
range_branch,8.463918767477486,199,3.682769151416716,4.1285477136854665,3.980401031668344,1.1772041297033933,0.9871339868515463,2.6053788083613063,6.299552928115206,0.996449544130286,178.6491879800915,149.69916913379805,200,data_set_8,1.908134709938811,6.5959399640495064,0.95,default
RF_dist,3,156,0.5816825629548215,2.635,3,0.6274900147356648,0,1,3,0.9952118192238395,149.92483237329577,NA,200,data_set_8,1,3,0.95,default
BHV_dist,11.934530432459331,199,3.9071200278502394,5.770580858975378,5.57618260014076,1.5776197121017186,1.3320741172268373,3.596322390555952,8.893299612545384,0.9994223359802019,183.55585505007465,147.256100969224,200,data_set_8,3.131383234991313,9.344948225401616,0.95,default
KC_dist,3.605551275463989,30,-0.7871653326765469,3.9815761385165054,4.123105625617661,0.47769489768298545,0.34958717315265964,2.6457513110645907,4.358898943540674,1.0159847929033774,199.01410891805614,NA,200,data_set_8,2.6457513110645907,4.358898943540674,0.95,default
tree_length,2.322173783554449,105,-0.043397791124694676,2.3703167268372853,2.2497957937722575,1.109340868167859,1.0686611667848132,0.8078564612134372,4.283981953154383,1.001596967464455,214.13643915286067,212.6208577470018,200,data_set_9,0.4140291977243482,4.296950793259614,0.95,default
max_branch,0.7157874607548472,102,-0.16149102344173072,0.7872061912280751,0.7089336747465247,0.4422458224063286,0.42188257770859244,0.23223806242504053,1.5468651750170048,1.0101224985417103,222.65445500061034,212.62085774700162,200,data_set_9,0.1615982301462123,1.6144372894570258,0.95,default
range_branch,0.5897140180926885,90,-0.35971832749824595,0.7454585392864893,0.6532206645950727,0.43296243001285556,0.395097168497297,0.22306867274640396,1.53138661994797,1.0083341562956518,226.63587400558959,217.056063143582,200,data_set_9,0.15792463250344518,1.549455751237693,0.95,default
RF_dist,3,151,0.7079834754454085,2.665,3,0.47317488559919263,0,2,3,0.9977828222775438,129.24291425047676,NA,200,data_set_9,2,3,0.95,default
BHV_dist,2.5173177455428286,140,0.20763124963360222,2.431418775071664,2.3058884106758715,0.41370925919266355,0.2796675041677624,1.978237126378473,3.113594426974517,0.998488570793563,193.72868650118093,158.62628906581347,200,data_set_9,1.846868009025702,3.2085373770202796,0.95,default
KC_dist,3.1622776601683795,136,-0.0031740841404798385,3.164073860320236,3.1622776601683795,0.5658955693546972,0.47122549972726646,2.449489742783178,4.123105625617661,0.9999898297515867,103.8838090735568,121.94665445760369,200,data_set_9,2.449489742783178,4.123105625617661,0.95,default
tree_length,1.7186062888568652,33,-0.9220911857348861,2.8417926059131977,2.6593287104596586,1.2180859490172635,1.018238717687122,1.1125173341573429,5.300377659144052,1.0090053454867653,191.9034654308119,183.81776436968573,200,data_set_10,0.8056520177040732,5.371034375456336,0.95,default
max_branch,0.5290362862176317,42,-0.7848672317332828,0.9260608444201912,0.847080029258343,0.5058493234910313,0.38000108132394717,0.3291102072849354,1.8363994370395358,1.0092667975227294,176.92837347311533,184.50039724965913,200,data_set_10,0.22901055780799356,1.8996180456779,0.95,default
range_branch,0.4817618322856052,44,-0.7614944685825367,0.8656218499203239,0.76532420873336,0.5040877294213897,0.3972303929592037,0.2808443942886178,1.7918789301673053,1.0070001393352743,170.41526339134114,184.50039724965913,200,data_set_10,0.2105961128572421,1.8922533214460002,0.95,default
RF_dist,1,91,0.040021010400478785,0.97,1,0.749606261805952,1.4826,0,2,1.0167257124744844,138.67426458494432,NA,200,data_set_10,0,2,0.95,default
BHV_dist,1.6539415962419364,74,-0.25445977670640024,1.7623386537957602,1.772050930373883,0.42598896751722787,0.3482625192541565,1.109202800383412,2.4655975297501658,0.9963851545071262,210.2774619350621,171.2560292263088,200,data_set_10,0.9044701294905412,2.564838134739188,0.95,default
KC_dist,2.6457513110645907,122,0.5305370421516016,1.8783427048179788,2.449489742783178,1.4464750720032176,1.5349004650759885,0,4.358898943540674,1.011807987626576,201.50497766847346,NA,200,data_set_10,0,4.358898943540674,0.95,default
