variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,scenario
bmRate,0.06617099575180517,5,-1.4286217738167915,0.12613835795259962,0.11926907545331135,0.04197567424762262,0.03766748977356372,0.06978122622624357,0.19875131073685867,1.0138371363269894,89.03068959407618,184.50039724965913,200,data_set_2,0.059629811473509646,0.2034948315657157,0.95,Scenario_2
tree_length,3325.46754390868,200,5.724674716035167,1539.6011847904908,1524.700934996667,311.95944707842824,335.0617541136746,1071.9111547711154,2065.211552149898,1.004904915988049,222.20916866789463,205.49841849290723,200,data_set_3,943.1093077803773,2154.528248531185,0.95,Scenario_2
max_branch,46.34874624579452,194,2.2586277675926993,28.13596080791336,27.751803668277354,8.063650725986069,8.125379580528461,17.049995898326582,41.69833851394704,1.00897595491165,176.78199475625766,226.24216692125415,200,data_set_3,14.99778996018583,43.642337032802025,0.95,Scenario_2
range_branch,46.34455075607718,194,2.2609053026618087,28.119817334201727,27.73667861041815,8.060812365922233,8.124212156027799,17.046912940332813,41.69050585324829,1.0087361896508664,176.98683382916985,226.24216692125415,200,data_set_3,14.960200240121408,43.609229106530975,0.95,Scenario_2
bl1_length,11.992744888663154,182,1.5358922456172677,4.276740519610865,2.1080481659439707,5.023792776524673,2.4311600660334554,0.1644414583054747,16.037000017021946,1.0091889874583946,125.27217096489625,162.51233661507348,200,data_set_3,0.04234429366489173,16.159608738877886,0.95,Scenario_2
birthRate,0.04890485249335432,0,-2.978719065910377,0.12054885895386079,0.11659057091315154,0.024051951484928013,0.0228602163139492,0.08608937265262374,0.16697770750891605,1.001548420086446,218.98508515444777,181.71259610245684,200,data_set_3,0.07855593349192197,0.1687323562084326,0.95,Scenario_2
bmRate,0.12145611633300023,11,-1.3934622956374536,0.20568941614444897,0.19927613762440782,0.06044892644398057,0.049181132216931184,0.1193615243447375,0.3146587075729777,0.9950956922885907,197.94406992796903,181.44814143932572,200,data_set_3,0.08845654981315156,0.319887849757435,0.95,Scenario_2
tree_length,3982.498455725007,200,4.5384605567052745,2017.1037113647685,1953.8785665308,433.05317294352113,445.5446220305897,1408.6073346352382,2810.2103575047486,0.9990477509111858,139.2158332487699,152.58751828660573,200,data_set_4,1254.4880841572399,2894.087986449704,0.95,Scenario_2
max_branch,36.23124591477386,169,0.7908697600562464,28.916499583466702,27.347397086564985,9.248989784091545,8.137675632791352,17.089482497528856,44.770629925937726,1.0109881944520578,126.69346152690593,181.44814143932572,200,data_set_4,13.342358911838444,45.5508748324795,0.95,Scenario_2
range_branch,36.221902484144415,169,0.7917577462120846,28.90203885675637,27.331538298739993,9.245079902795553,8.122019734245498,17.079802538277992,44.7634440876813,1.0107978670266298,126.73603332503795,181.44814143932572,200,data_set_4,13.338334058167685,45.55040590466026,0.95,Scenario_2
bl1_length,18.872488188349394,199,3.579961942698296,4.153374797896926,2.7728901656172438,4.111527895002802,2.8664235990355365,0.194476614193013,13.689514854095563,0.9989803796758351,184.84763223226827,185.06445353536625,200,data_set_4,0.011943884370144807,13.818282516243212,0.95,Scenario_2
birthRate,0.05714574178261591,0,-2.6010370963885783,0.12614741481974587,0.12346491637745871,0.026528523231343235,0.02502506521245975,0.0863134499081662,0.1730540687849062,1.0008270444998915,136.92461245185464,179.43272152681843,200,data_set_4,0.08351636935688075,0.18013985993933077,0.95,Scenario_2
bmRate,0.09531072141570665,7,-1.3968510256168698,0.15718988014144988,0.15110814712855197,0.04429903947589292,0.04242276730156207,0.0994423543338229,0.23779950432445698,0.9973315957175589,144.42888683160012,153.24952542345264,200,data_set_4,0.08004017116891501,0.24226689947293267,0.95,Scenario_2
tree_length,410.82266593409076,200,6.316337956028277,139.44235172007788,132.26248755277538,42.96481855518972,43.94615964184526,82.05282644563685,223.81743292066355,0.9981476241219827,193.58251032487757,114.90609859375053,200,data_set_5,72.98557386206129,226.74245742153147,0.95,Scenario_2
max_branch,47.167716013805055,200,6.34209959587797,13.829584261100406,13.043212195739743,5.256639579481324,4.501386397122301,7.298976970672783,23.987284427597785,0.9965322516677325,209.92725924907134,183.81776436968573,200,data_set_5,6.402038560988859,25.019763212585552,0.95,Scenario_2
range_branch,46.882143663265076,200,6.329067765994276,13.69521662468366,12.992524541307109,5.243572713329584,4.507875256344791,7.241989742192758,23.764960719480637,0.9974139416000664,211.42262217569365,183.81776436968573,200,data_set_5,6.249052189728751,24.969202926215225,0.95,Scenario_2
bl1_length,8.638961646641945,179,1.1539442576760945,3.792706550961552,2.441196662819742,4.199730674547634,2.64751746186764,0.1603443284622989,12.976589435511098,1.0046286905661168,218.3762760956368,179.40930109028008,200,data_set_5,0.001958170770816258,13.427548780960283,0.95,Scenario_2
birthRate,0.04364731970002218,0,-3.6523733283634585,0.13932889017795735,0.13532513549920397,0.0261970948410161,0.023970283382745358,0.10495155659962252,0.19220255513618026,0.9987553112187572,209.94485885699078,178.16876806301022,200,data_set_5,0.1023528634925764,0.2054179598785852,0.95,Scenario_2
bmRate,0.0325090696222083,5,-1.4914544210496794,0.08100414691534512,0.07355099482818686,0.03251529286359699,0.030602098916745313,0.03864472132886615,0.13877083834454357,0.9991545794882917,229.5147071949439,210.75466088192417,200,data_set_5,0.028770993322783774,0.13976785143438522,0.95,Scenario_2
tree_length,233.7484880975719,200,10.337557638709514,50.89299340060511,50.227680846493826,17.688461925692682,19.029478791232037,26.07551984238984,84.76160763064063,0.9959646630104745,184.78467507720237,183.81776436968573,200,data_set_6,19.38734133121634,85.77231603286475,0.95,Scenario_2
max_branch,52.05521951747967,200,7.163679581555323,13.147573033790326,12.585526156264189,5.431237681800673,5.998513005971168,5.60277847121201,22.404955276130185,0.9962019783544342,193.0750013360626,172.31004689554138,200,data_set_6,4.198702070095535,22.876580308170162,0.95,Scenario_2
range_branch,49.4372189851524,200,6.834732521458373,12.681911889183798,12.108518948684958,5.377724289951566,5.92774032131227,5.5047977895870925,21.906432943889214,0.9957264782344057,184.30703071783898,172.31004689554138,200,data_set_6,3.539430960246775,22.54599560221042,0.95,Scenario_2
bl1_length,2.6180005323272724,105,-0.2093364773542388,3.3638956336414427,2.4309954452773828,3.5631396436081615,2.2131894324059065,0.2911257941292098,10.793683250940077,0.9983933192703713,150.25848464804352,183.81776436968573,200,data_set_6,0.07828323377957529,11.193999404244655,0.95,Scenario_2
birthRate,0.02923642116729653,0,-4.030893296550325,0.13731048995725387,0.13717917167225852,0.026811443726989282,0.02757882621254636,0.09704107665725095,0.1815153841777139,0.9964136523442612,188.59107114645767,183.81776436968573,200,data_set_6,0.088259349812564,0.18291584668268152,0.95,Scenario_2
bmRate,0.054323989382454564,24,-1.0053824545283947,0.09302337294504359,0.08254444530246847,0.038492201040789153,0.031621104226246546,0.04724046982374641,0.1619692732105749,0.9956525811839425,190.3206607087711,184.50039724965913,200,data_set_6,0.020058573734158106,0.1636284532433062,0.95,Scenario_2
tree_length,3135.283178784303,200,7.717042397464355,1154.7587872009037,1136.768932712492,256.64293256107476,285.51550679800766,781.3820066437559,1582.4090260806888,1.0059525747688456,206.04823172054842,203.81060196783517,200,data_set_7,709.4792546728323,1615.9604131768972,0.95,Scenario_2
max_branch,72.03267737755424,200,6.16790036069516,24.698497640961335,23.581172684099016,7.674277625856143,7.0058840427073905,14.393623932535583,39.185832173728926,1.0022249082989751,183.82999317725893,182.72602753033289,200,data_set_7,12.197723548774174,39.746840496967785,0.95,Scenario_2
range_branch,72.02876506542118,200,6.171167279361722,24.68019969065979,23.566163130916397,7.672546089150675,7.005355632812353,14.36144672050994,39.1830557490926,1.002111108624439,184.31219115963563,182.72602753033289,200,data_set_7,12.165879763628682,39.71918205021704,0.95,Scenario_2
