variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd
birthRate,0.048794559219121125,163,0.9124702466691216,0.04172712255851205,0.040833485124488485,0.007745388615582837,0.007822948191500503,0.030572127081223067,0.05442632236744521,1.0058113612554358,151.78408565863683,155.5167456725001,200,data_set_2,0.028943120804718506,0.056252229912927575,0.95
bmRate,0.06617099575180517,142,0.3688505973910706,0.059252432359065126,0.055990803556105424,0.018757088755382165,0.015797481461233838,0.034721039029593496,0.09178947489294269,0.9993314623241066,106.37819608421059,183.81776436968573,200,data_set_2,0.02921083406257161,0.09776983068510359,0.95
treeHeight,87.97148640725473,25,-1.0989823064588413,117.86216645271512,114.93238391584207,27.198508902090172,24.360974570702265,79.8451392654851,172.3580509400609,1.0013895367770556,174.0513431016043,183.81776436968573,200,data_set_2,71.91465260450303,174.85952654063738,0.95
tree_length,3325.46754390868,11,-1.4395398872160758,4612.892306561292,4579.750267238323,894.3307330944199,960.0755032535413,3314.345220241609,6170.151547241143,1.0045158898539603,214.7224174848075,178.62881248895587,200,data_set_3,3147.330537502575,6502.363906109562,0.95
max_branch,46.34874624579452,4,-1.6849582776047123,82.5814543961137,80.78403375206904,21.503623343022202,18.19572711252013,53.74139774505155,123.62958888349311,1.003047050729413,225.34958933401688,133.67919036774546,200,data_set_3,45.51254777569202,126.11556173908983,0.95
range_branch,46.34455075607718,4,-1.6833178257463721,82.52803703021458,80.74100956110848,21.49533838512871,18.21308709886647,53.7111575741869,123.5570761612748,1.0030697699995674,223.81724415633093,133.67919036774546,200,data_set_3,45.12814912046559,125.62869381546123,0.95
bl1_length,11.992744888663154,136,0.044007450986285966,11.437813887342871,7.865421182769417,12.60993283826449,7.936333283494168,0.3722873764685624,35.65471589376378,1.0155816920772407,215.88330574317456,224.40597791289804,200,data_set_3,0.01422809183709688,35.94633139889647,0.95
birthRate,0.04890485249335432,179,1.344624122403436,0.03921363048330013,0.03850923596812439,0.007207383720538724,0.00717333162417926,0.028940747041471794,0.051818434158446475,1.0028724401074691,215.60510098757857,155.51674567250004,200,data_set_3,0.02618887203707539,0.05317278206241932,0.95
bmRate,0.12145611633300023,169,0.9196479187369258,0.0965805555681274,0.0917848833194671,0.02704900457888028,0.022693117667175487,0.05962659386038379,0.1437961542727924,1.0017017090447347,132.06832580513907,184.50039724965913,200,data_set_3,0.049786576150894345,0.15977159462909668,0.95
treeHeight,99.70576646338257,38,-0.8225052014691608,125.51285622539328,121.65625081649839,31.376202504147106,28.342369523717405,81.78458329392278,179.8765445091201,0.9969901006620333,252.9519169277364,224.40597791289804,200,data_set_3,78.07470281736761,192.07424706404728,0.95
tree_length,3982.498455725007,6,-1.8203325565996824,6026.963221090674,5951.065650600791,1123.1270670589201,1120.6643010027558,4319.211137460351,7959.40800956553,1.0022286876703896,241.2258827211703,183.81776436968573,200,data_set_4,3704.5787881904457,8130.826512237193,0.95
max_branch,36.23124591477386,1,-2.185772024885652,83.12781370500241,81.94945470742257,21.455379269337083,22.50609927985402,52.496594010988105,119.32541383496061,0.998601592009561,223.01684958342588,183.81776436968573,200,data_set_4,45.50534747384012,126.970472931256,0.95
range_branch,36.221902484144415,1,-2.185110816940429,83.09432799389266,81.90140548899194,21.45082306414947,22.409616253895056,52.49088380825341,119.2788987973163,0.9987168548483193,223.30454763339588,183.81776436968573,200,data_set_4,45.47853452815765,126.95235750013411,0.95
bl1_length,18.872488188349394,158,0.5715876612866774,11.795200621131285,7.7871377687959065,12.381806058036172,9.334117141974366,0.3275099445393887,34.33136853242659,0.9986212001737647,199.02232942301313,181.8165087595598,200,data_set_4,0.029569703456220307,34.626159524072214,0.95
birthRate,0.05714574178261591,192,2.033495556689491,0.04168395165684147,0.04050824093865031,0.007603552451791964,0.007850450251090208,0.030535490642327693,0.05500504936665298,1.0039926655387061,227.5278897096487,183.81776436968573,200,data_set_4,0.027005772015356776,0.05511203639826849,0.95
bmRate,0.09531072141570665,190,1.7782315180907986,0.06532231203487936,0.06451678498749157,0.016864176051172686,0.014704245902774377,0.039503272174316345,0.09527702918379423,1.0005647480555877,136.13198326253476,135.97033374536463,200,data_set_4,0.03409062313382085,0.0985131917515178,0.95
treeHeight,64.65940600265843,0,-2.183955007782387,128.59246623331236,124.46509372313656,29.273982294888164,27.599789318798653,88.70171370717422,175.53548355860792,1.0038853599074082,223.47166180072983,27.042973743731046,200,data_set_4,67.14847539719236,175.58446044847608,0.95
tree_length,410.82266593409076,116,0.009295747845540445,409.6446941353132,387.0060684007855,126.72157403050367,117.8629591342565,247.3876469759529,638.6797609921284,1.006885624050885,171.9087780598328,190.34185921391293,200,data_set_5,196.8423554880399,648.1721258047305,0.95
max_branch,47.167716013805055,137,0.310415602255854,41.9897344875961,38.22021819816145,16.680803054290752,14.501310849339935,22.69143273742223,72.44931026092576,1.0007393383085708,195.721094002461,183.81776436968573,200,data_set_5,18.24284123030764,74.63595343940115,0.95
range_branch,46.882143663265076,140,0.31938294561932984,41.57937812360589,37.955855707848464,16.603158097175015,14.629661641838766,22.048694946232963,72.28967429391294,1.0019987206458492,194.68917703646494,183.81776436968573,200,data_set_5,18.119366946886068,74.53125049801758,0.95
